"inst_name","grad_rate_6yr","pct_pell","pct_loan","cost_attendance","tuition_in_state","tuition_out_state","pct_admitted","enrollment","stud_fac_ratio","retention_rate","avg_fac_salary","instr_exp_per_stud","pct_full_time_fac","pct_first_gen","avg_age_entry","pct_female","pct_hispanic"
"Friends University",0.4335,30.21,57.88,50482,34192,34192,55.22,1048,12,0.6545,7013,5033,31.44,35.76271186,"24.72698908",55.22620905,20.8
"University of Kansas",0.6881,20.47,37.35,26751,12102,30432,93.48,21217,18,0.8649,11338,22979,77.87,22.22402072,"21.110345883",54.7597184,10.83
"Newman University",0.5281,12.26,16.68,46489,35500,35500,73.98,851,16,0.6887,6512,5539,100,39.4,"24.781981982",72.61261261,29.38
"Kansas State University",0.7108,20.71,36.29,27402,11221,28568,81.69,15142,19,0.8559,10853,12603,90.14,22.47913769,"21.087609305",52.08711434,9.68
"Kansas Wesleyan University",0.4863,39.15,70.86,47437,34630,34630,71.9,956,16,0.6008,6316,5144,100,33.04904051,"20.901380671",42.40631164,17.78
"Manhattan Christian College",0.4429,46.81,56.74,34466,19126,19126,100,146,10,0.7667,5504,5608,36,26.89655172,"21.322580645",42.58064516,6.85
"McPherson College",0.3392,37.94,63.71,50611,37310,37310,76.76,872,16,0.6515,7375,10231,92.45,30.56234719,"20.6",36.81818182,14.45
"MidAmerica Nazarene University",0.5361,31.22,52.32,57355,37174,37174,78.8,983,11,0.6986,6477,6776,18.97,32.2496749,"25.824499411",58.06831567,9.46
"Ottawa University-Ottawa",0.279,36.75,75.53,51856,35880,35880,82.96,870,12,0.583,6778,2407,94.29,40.08683068,"29.532679739",62.74509804,18.85
"Pittsburg State University",0.5659,30.46,41.48,22099,8400,19744,89.42,4210,14,0.7719,8130,9572,66.12,32.32231779,"21.673538073",51.19899032,8.03
"University of Saint Mary",0.4776,38.15,69.46,48728,35380,35380,86.63,925,11,0.65,6758,8885,48.07,35.71428571,"23.99009901",52.47524752,24.32
"Southwestern College",0.3568,40.85,48.55,58432,39822,39822,75.55,924,10,0.559,6799,6496,100,39.84251969,"26.994252874",46.26436782,16.34
"Sterling College",0.4129,37.06,48.82,47185,33700,33700,48.17,538,8,0.5035,4904,6665,62.34,34.0974212,"20.856",37.33333333,17.47
"Tabor College",0.3374,38.04,59.38,50350,36200,36200,64.58,494,15,0.5271,6159,8066,66.04,31.39841689,"22.985507246",45.16908213,14.98
"Wichita State University",0.5103,30.55,31.72,21780,9684,19869,93.95,10780,19,0.693,9205,9179,64.19,36.33893281,"23.595878136",59.34139785,18.14
"Alice Lloyd College",0.3892,58.29,43.85,31200,13960,13960,75.23,558,15,0.5657,5404,6694,76.92,46.78899083,"19.928774929",57.26495726,1.97
"Asbury University",0.6498,27.67,40.78,47459,33640,33640,63.4,1420,13,0.8333,7374,10617,45.74,23.62318841,"23.255878285",61.54910097,6.55
"Bellarmine University",0.6436,30.71,48.92,61691,48770,48770,86.11,2161,12,0.7512,8508,11447,48.76,27.26480836,"20.672742336",67.93703397,10.04
"Berea College",0.5822,83.73,7.6,60718,51658,51658,19.34,1513,9,0.7918,9259,23470,86.84,40.57771664,"19.814201183",55.85798817,17.58
"Brescia University",0.5371,42.65,51.91,44328,31550,31550,35.24,545,13,0.6741,6182,8749,60,45.21072797,"27.423670669",74.09948542,6.24
"Campbellsville University",0.4201,20.05,18.47,42603,27998,27998,79.74,2840,19,0.645,6787,5539,41.02,46.64842681,"24.49048496",61.51012891,3.94
"Centre College",0.8067,22.64,48.67,67787,52820,52820,54.36,1400,10,0.875,9723,24174,92.41,20.25641026,"19.376213592",47.08737864,7.36
"University of the Cumberlands",0.5043,53.38,67.88,25567,9875,9875,98.81,6941,23,0.743,6548,2932,22.69,39.76608187,"24.538990826",56.49847095,3.33
"Eastern Kentucky University",0.5004,41.1,40.71,23735,10320,21230,77.61,12318,17,0.7693,7826,9026,55.96,39.95334888,"22.55726601",58.14347291,5.64
"Georgetown College",0.4885,35.33,48.25,56886,42840,42840,91.06,1097,13,0.6906,6502,4574,55.38,33.08550186,"19.857904085",52.57548845,6.11
"Kentucky State University",0.319,58.34,56.08,21727,9387,13658,96.08,1309,10,0.6369,7036,6140,55.68,40.03215434,"24.481065919",57.64375877,2.37
"Kentucky Wesleyan College",0.468,49.52,61.03,46203,34673,34673,71.6,842,15,0.5256,6353,5847,42.55,37.81094527,"20.66745283",45.51886792,3.09
"University of Kentucky",0.7142,22.52,33.66,34391,13502,34140,92.94,24763,18,0.8684,11984,13191,82.39,23.36008857,"20.599472991",56.87747036,6.78
"Kentucky Christian University",0.3667,43.14,61.63,40168,26625,26625,60.91,429,12,0.8608,4770,7212,45.16,29.57746479,"21.075163399",43.46405229,8.62
"University of Louisville",0.6123,30.6,28.13,32941,13136,29482,79.41,14727,14,0.8149,9671,17552,59.28,30.43478261,"21.922797457",55.13169846,8.95
"Midway University",0.4069,31.95,44.46,48805,27220,27220,95.14,1262,15,0.6759,7349,5606,26.11,43.45637584,"26.522762951",78.33594976,6.58
"Morehead State University",0.5219,29.55,33.52,21961,10024,14980,77.21,4578,16,0.6501,7788,10768,80.41,41.41706924,"22.050892857",61.75595238,3.21
"Murray State University",0.6132,33.32,35.35,23485,9900,19836,85.68,6688,17,0.7565,7855,10232,81.79,33.95573997,"22.320711974",62.65372168,3.5
"Northern Kentucky University",0.5224,25.23,30.95,19725,11088,21912,67.65,8246,19,0.7551,8693,9637,54.82,38.13186813,"22.245689655",58.5591133,5.06
"Spalding University",0.5167,35.83,58.99,45530,29200,29200,99.45,583,9,0.6404,8066,11748,54.79,35.00837521,"24.674698795",74.09638554,8.23
"Thomas More University",0.405,23.05,53.13,49452,39800,39800,90.35,1293,14,0.6675,6727,7094,51.74,36.8221942,"23.223760092",47.98154556,4.49
"Transylvania University",0.7148,26.25,46.91,60993,46870,46870,86.55,1005,10,0.8705,10145,12370,64.66,16.36363636,"19.45959596",59.5959596,5.07
"Union Commonwealth University",0.3213,52.7,60.54,44322,30946,30946,63.15,746,14,0.6378,5687,5205,100,40.72727273,"21.560606061",45.79124579,3.75
"Western Kentucky University",0.5556,30.48,34.67,24188,11652,27000,93.87,12155,19,0.7831,8169,9271,67.39,35.70372803,"22.152542373",60.25347381,6.54
"Centenary College of Louisiana",0.5621,44.84,69.35,60620,41200,41200,55.74,685,8,0.702,7808,11660,36.72,21.83406114,"19.926530612",51.42857143,11.68
"Dillard University",0.4328,69.65,79.32,39202,23918,23918,41.86,1063,14,0.7805,7271,7241,96.3,35.28528529,"20.642038217",73.24840764,1.13
"Grambling State University",0.3616,74.97,77.82,25367,7683,16706,44.86,4164,25,0.6608,6296,4469,88.13,39.45178659,"21.320698467",54.89778535,1.75
"Louisiana State University-Alexandria",0.3422,35.38,36.4,15550,7050,14650,92.08,5632,33,0.6952,7220,5430,60.4,44.88721805,"24.054398925",68.16655473,0.78
"Louisiana State University and Agricultural & Mechanical College",0.6881,26.55,29.9,34705,11954,28631,73.33,30594,21,0.8474,11474,10884,88.25,26.64919852,"20.285384504",57.27889193,10.69
"Louisiana State University-Shreveport",0.3754,38.62,29.32,19461,7518,7518,50.55,2153,30,0.8315,9562,8387,70,40.27149321,"24.626938776",66.44897959,0.37
"Louisiana Christian University",0.4387,43.09,58.66,33791,20266,20266,77.19,672,10,0.5243,6137,9557,60.64,36.84210526,"21.238341969",44.04145078,3.57
"Louisiana Tech University",0.6382,21.68,27.26,24280,10125,16866,86.4,8312,21,0.822,9177,7357,66.05,31.18584071,"20.577586207",48.64058355,4.72
"Loyola University New Orleans",0.5903,37.32,53.14,64157,49440,49440,93.05,2812,12,0.8006,8990,12068,62.72,19.28071928,"20.048552754",64.33239963,21.05
"McNeese State University",0.4704,34.59,32.12,22810,8489,9989,78.27,5005,20,0.6844,7591,5647,100,38.48015489,"21.731441048",63.71179039,5.01
"University of New Orleans",0.3799,39.12,27.63,23431,9172,14008,74.31,4638,19,0.6679,9208,7315,62.6,40.6360424,"22.315935152",57.88849348,16.26
"Nicholls State University",0.538,34.07,38.26,23481,8149,9242,90.8,4737,19,0.766,6998,5948,100,45.83710407,"21.643236616",63.46546792,6.57
"University of Louisiana at Monroe",0.542,34.77,34.69,24932,9190,21290,84.75,5022,18,0.7275,7719,7459,74.1,38.00852383,"21.488462904",69.75505857,3.68
"Northwestern State University of Louisiana",0.432,35.24,35.12,25431,8864,19652,92.54,5519,16,0.7087,7129,6994,66.13,42.4301676,"24.25006283",73.43553657,6.38
"University of Holy Cross",0.4857,27.53,33.91,27541,16576,16576,73.66,471,7,0.7097,7708,10673,39.04,48.98876404,"25.695652174",89.32806324,14.01
"Franciscan Missionaries of Our Lady University",0.4545,31.21,48.72,28490,18310,18310,98.7,821,14,0.6393,8122,14155,100,47.36024845,"28.606188467",89.31082982,6.94
"Southeastern Louisiana University",0.4541,33.26,32.42,23604,8373,20851,99.31,9514,20,0.7253,7315,6646,80.23,39.90835697,"20.889678311",63.94316163,6.58
"Southern University and A & M College",0.2709,68.14,71.78,26341,9922,17272,35.12,5519,21,0.6031,7735,5687,99.08,39.66005666,"21.13894081",63.67601246,1.27
"Southern University at New Orleans",0.1311,41.74,39.09,23905,8054,16954,78.9,1055,13,0.52,6898,5792,100,49.6009122,"26.013207547",72.54716981,2.94
"University of Louisiana at Lafayette",0.5263,41.51,43.72,24884,10418,24146,87.01,12428,18,0.7428,8889,9241,70.57,38.48580442,"21.933164129",61.64128596,5.63
"Tulane University of Louisiana",0.8614,9.76,20.9,87004,68678,68678,13.98,7767,7,0.9255,13243,37362,68.67,18.00116891,"22.748197449",60.45479756,11.25
"Xavier University of Louisiana",0.4855,54.19,56.23,40434,28733,28733,69.04,2628,11,0.7168,9918,9547,79.3,26.57232704,"19.799426934",74.78510029,4.03
"Bates College",0.8969,11.52,13.8,83532,66590,66590,13.32,1760,9,0.9129,11886,27338,95.22,15.0877193,"19.421404682",49.1638796,9.72
"Bowdoin College",0.9528,17.35,8.38,85100,67832,67832,7.13,1873,9,0.9683,14216,42365,88.93,18.83561644,"19.387820513",50.64102564,14.52
"Colby College",0.8879,14.32,8.54,85420,69600,69600,7.09,2407,9,0.9365,13207,27972,93.1,10.8974359,"19.413897281",56.79758308,8.39
"University of Maine at Farmington",0.5154,30.16,39,25822,11308,23878,96.72,1140,13,0.7277,8643,14803,68.1,32.43823845,"20.396711202",67.62589928,6.14
"University of Maine at Fort Kent",0.3944,14.96,17.54,18703,9420,14880,97.92,599,21,0.8929,8219,9029,52,42.91187739,"25.789103691",74.34094903,3.34
"University of Maine",0.5494,23.27,42.01,27328,13326,36756,96.64,8496,15,0.8336,11425,12786,69.71,23.40534979,"20.161975309",48.2962963,4.91
"University of Maine at Presque Isle",0.5155,24.35,23.14,19113,9402,14862,99.87,1913,30,0.5842,7782,5285,48.1,36.71171171,"22.163265306",63.87755102,11.29
"University of New England",0.6835,11.78,40.93,63245,44210,44210,91.63,2135,11,0.7942,9669,12819,54.19,22.07307979,"20.370609319",73.90681004,4.31
"Maine College of Art & Design",0.5155,28.57,69.49,60128,42942,42942,76.06,415,8,0.7167,7529,15840,31.91,23.88059701,"20.832167832",73.07692308,7.23
"Saint Joseph's College of Maine",0.6574,23.61,59.58,59782,44420,44420,83.51,964,10,0.7457,6294,7460,100,30.53097345,"22.7593361",63.90041494,6.43
"University of Southern Maine",0.4035,28.28,34.73,23717,11284,27944,79.23,4222,14,0.7394,10420,10101,39.85,32.8369906,"23.607452967",60.78147612,4.48
"Thomas College",0.5369,18.15,32.83,47198,31824,31824,96.3,647,20,0.7749,7625,4491,50.65,37.86764706,"20.042808219",50.17123288,1.7
"University of Baltimore",0.3816,44.89,38,26406,9992,23984,78.74,1133,10,0.6,13975,16754,56.38,39.90024938,"27.588526912",61.04815864,5.21
"Bowie State University",0.382,44.35,44.04,25220,9218,19938,72.41,5043,15,0.6819,11118,10087,45.5,35.52006905,"22.437546194",63.63636364,5.69
"Capitol Technology University",0.4268,39.18,47.01,42471,27592,27592,74.35,315,9,0.7681,5625,7131,100,35.6097561,"23.026200873",15.28384279,4.76
"Washington Adventist University",0.2865,37.19,44.79,34309,26604,26604,46.18,452,9,0.6408,6208,18786,26.12,35.18518519,"27.13372093",72.09302326,23.89
"Coppin State University",0.2622,53.92,36.19,23748,7100,14024,45.83,1844,12,0.6622,10091,16220,55.56,47.2,"26.686817189",77.49453751,4.66
"Frostburg State University",0.4966,32.21,37.68,27056,10220,25814,89.18,2909,13,0.6928,9386,12116,71.29,35.99803825,"21.740955784",52.70209915,6.91
"Goucher College",0.5734,35.21,52.98,70544,53350,53350,77.71,964,9,0.786,8359,17884,56.28,17.59729272,"20.955128205",68.26923077,2.49
"Hood College",0.569,37.06,67.82,61219,47700,47700,77.77,1194,10,0.6799,8361,11518,41.04,31.11111111,"21.52991453",63.58974359,16.67
"Johns Hopkins University",0.9378,19.49,9.31,85947,65230,65230,6.44,5693,6,0.9809,18971,101214,94.34,13.12714777,"21.056953642",51.7218543,18.67
"Loyola University Maryland",0.7919,20.37,52.47,74055,57150,57150,75.49,3869,12,0.8711,9706,13478,99.71,13.49453978,"19.453576865",60.2739726,14.99
"University of Maryland-Baltimore County",0.7001,30.04,28.29,28576,13256,31275,72.43,10701,17,0.8505,13145,14455,66.51,27.40181269,"22.286146234",49.39527213,10.05
"University of Maryland-College Park",0.8859,19.39,21.52,29299,11809,41186,44.79,30760,17,0.962,17205,20217,82.58,22.42705763,"20.78256718",50.8934661,11.17
"Maryland Institute College of Art",0.7224,23.11,41.24,76860,56800,56800,76.79,1189,9,0.8339,9574,19211,16.69,17.38197425,"20.5",72.22222222,11.69
"University of Maryland Eastern Shore",0.3533,55.71,52.13,25941,9076,20122,96.41,2391,11,0.6179,10872,23374,71.99,35.75063613,"20.372833985",58.85969816,3.55
"Morgan State University",0.4087,56.55,65.4,25413,8229,19124,82.23,9019,18,0.7334,11634,9759,59.52,33.10118804,"21.506378455",58.64635011,5.77
"Mount St. Mary's University",0.6539,31.13,51.09,63731,48630,48630,73.81,1768,13,0.7077,7399,10126,100,23.2712766,"20.844221106",54.89949749,16.63
"Notre Dame of Maryland University",0.5,36.44,49.27,59320,43360,43360,82.16,709,9,0.7277,7645,14980,44.44,40.94292804,"27.924485126",93.8215103,13.12
"Salisbury University",0.6815,25.86,39.04,28310,11084,22174,87.47,6057,14,0.7766,10679,11356,68.41,29.17236662,"21.126610825",59.56829897,7.71
"St. Mary's College of Maryland",0.6995,21.12,42.74,31865,15298,31374,68.63,1603,10,0.8575,9044,13110,70.2,23.28244275,"20.370235935",59.70961887,9.23
"Towson University",0.6946,35.79,41.63,28535,11728,29820,81.97,16136,14,0.8277,9975,10084,57.13,28.95995218,"21.479152141",62.69697392,11.5
"Stevenson University",0.6849,30.88,69.78,58394,40560,40560,78.91,3102,15,0.7879,8822,10867,29.58,30.69435432,"21.637663886",66.09058403,10.22
"Washington College",0.6537,22.6,47.16,73314,55326,55326,56.89,891,8,0.8391,6768,26477,80,16.03773585,"19.401785714",60.89285714,10.44
"McDaniel College",0.6329,36.1,58.38,65294,52081,52081,77.93,1617,13,0.7602,8473,10258,25.24,26.36363636,"19.891549296",51.69014085,10.51
"American International College",0.4591,44.8,67.28,59270,44230,44230,99.57,1017,16,0.5673,7628,6626,22.09,40.57377049,"21.604678363",59.41520468,27.43
"Amherst College",0.939,19.84,8.38,87640,70480,70480,9.01,1911,6,0.9734,15606,36411,96.73,20.84592145,"19.660056657",54.39093484,13.81
"Anna Maria College",0.4623,34.29,65.41,61888,44571,44571,50.3,906,12,0.6032,7264,7851,30.49,39.69335605,"22.691107644",63.02652106,15.45
"Assumption University",0.7523,21.98,83.65,65551,51356,51356,82.98,1669,11,0.8392,9808,13143,51.12,17.52903907,"20.621",59.7,13.96
"Babson College",0.9312,16.28,27.07,80192,57152,57152,17.09,2728,15,0.9457,20620,15660,100,14.87603306,"19.440711462",48.22134387,17.08
"Bentley University",0.8679,16.07,43.17,79548,61000,61000,45.05,4474,12,0.9268,15847,16265,66.67,15.55367709,"19.811183144",39.95137763,14.26
"Berklee College of Music",0.6731,16.18,33.92,72700,52040,52040,43.53,7468,9,0.8857,10837,20700,34.49,21.23362445,"24.495095509",36.08673206,12.77
"Boston College",0.9083,12.91,29.96,89493,70702,70702,16.43,10085,10,0.9602,18131,27008,60.87,13.18956871,"19.469064748",51.89448441,12.95
"Boston University",0.8866,19.15,22.92,86285,68102,68102,11.11,18248,10,0.9472,16623,35988,69.86,16.9382716,"19.95540186",65.46625328,11.45
"Brandeis University",0.8603,14.97,28.22,86448,68080,68080,40.5,3618,10,0.8702,14570,21670,74.34,16.30695444,"19.484198646",60.27088036,9.01
"Bridgewater State University",0.5341,31.94,74.98,26160,11808,17948,87.81,7829,17,0.7512,11130,11273,100,34.14215686,"21.950323012",59.27823569,10.98
"Clark University",0.7694,23.13,57.75,68432,58867,58867,39.54,2214,8,0.8617,12471,19052,100,16.29526462,"19.712962963",65.60846561,13.01
"Curry College",0.5112,30.91,70.9,64020,47970,47970,87.65,1780,12,0.6616,11385,15345,36.3,30.01567398,"22.325327511",61.35371179,13.99
"Dean College",0.5359,33.71,71.5,64889,46526,46526,73.71,1089,15,0.6835,7401,8116,23.48,31.68187744,"20.228971963",40.42056075,12.3
"Emerson College",0.7711,15.51,42.95,80399,57056,57056,51.31,3870,14,0.8736,11853,13023,32.14,13.15577078,"19.765163297",61.43079316,11.5
"Emmanuel College",0.6751,22.35,60.92,65252,48550,48550,75.65,1854,13,0.7858,10788,11725,51.92,20.73684211,"19.55270936",75.66502463,18.28
"Endicott College",0.7556,13,62.7,59328,40650,40650,71.21,3125,13,0.8436,11416,13624,24.53,18.94818252,"20.73929099",63.22008863,6.43
"Fisher College",0.2775,39.67,61.13,53921,35689,35689,70.68,1167,14,0.5459,7855,7055,28,46.77419355,"24.795353982",69.35840708,22.19
"Fitchburg State University",0.5512,32.79,46.76,25555,11346,17426,86.93,2752,11,0.6947,10973,11112,49.47,35.91470258,"21.473763875",53.4308779,17.73
"Framingham State University",0.478,36.88,50.83,27413,11920,18000,83.61,2566,12,0.7099,11240,9230,60.34,32.25071225,"21.342064715",59.88700565,22.92
"Gordon College",0.6854,20.8,52.59,42446,30700,30700,69.23,1278,10,0.8442,7927,11030,51.55,16.91542289,"19.605388273",64.97622821,11.03
"Hampshire College",0.5426,39.33,61.65,74195,58896,58896,75.28,839,13,0.7838,10085,12599,81.03,13.90374332,"19.979452055",66.78082192,12.99
"Harvard University",0.9758,16.43,4.44,85540,61676,61676,3.65,7601,7,0.983,25048,51780,86.76,25.708061,"22.463589744",50.15384615,11.87
"College of the Holy Cross",0.8733,14.8,37.68,80334,64500,64500,17.61,3106,9,0.9478,12363,24933,89.3,16.62531017,"19.366627497",52.6439483,12.85
"Lasell University",0.5864,31.28,71.68,42434,27040,27040,81.22,1226,12,0.7038,8850,10067,32.08,28.80952381,"19.738986784",66.74008811,15.17
"Lesley University",0.5802,30.55,53.87,51538,34256,34256,96.87,1122,10,0.7228,8813,14953,27.46,28.74251497,"23.696428571",79.28571429,18.89
"University of Massachusetts-Lowell",0.6482,30,53.02,30786,16966,36264,83.04,11434,17,0.8399,14275,15274,60.4,31.76614881,"22.936249073",43.43958488,17.18
"University of Massachusetts-Amherst",0.8326,19.94,46.62,34549,17772,40449,59.73,23671,17,0.9191,14663,20843,81.23,21.55418251,"21.250991951",51.5474436,9.13
"University of Massachusetts-Boston",0.4941,41.55,50.6,30544,15908,38125,83.78,11512,15,0.7041,12724,19582,59.88,43.05429864,"23.598801274",56.90204158,21.23
"MCPHS University",0.6202,30.06,66.58,65022,40530,40530,85.21,3451,9,0.7396,11769,14199,32.99,30.48780488,"21.849867374",77.08222812,16.17
"Massachusetts College of Art and Design",0.6887,29.53,51.17,34239,15400,43400,76.27,1831,9,0.891,10690,16343,99.21,22.51552795,"20.787923417",71.87039764,15.51
"Massachusetts Institute of Technology",0.9641,19.32,6.69,82730,62396,62396,4.55,4535,3,0.9908,24177,99057,98.98,25.85139319,"19.348462665",37.18887262,14.09
"Massachusetts Maritime Academy",0.7406,18.96,80.72,31367,11420,23722,94.7,1395,13,0.868,10073,16741,53.46,21.1062591,"19.787323944",12.81690141,6.02
"Merrimack College",0.7005,15.58,59.99,70038,53962,53962,70.02,3916,13,0.7927,12316,8809,43.65,20.67881835,"20.15598549",53.02297461,11.85
"Nichols College",0.6261,25.52,68.66,58310,42705,42705,80.84,1163,15,0.7246,9714,6461,35.25,31.57099698,"20.553846154",37.76223776,10.4
"Massachusetts College of Liberal Arts",0.5564,41.27,60.77,26026,12436,21381,89.74,713,8,0.7566,10457,22306,63.78,33.00699301,"22.070063694",63.69426752,6.73
"Northeastern University",0.9054,12.34,27.32,84641,66162,66162,5.22,17326,16,0.969,16218,21813,70.23,18.51581509,"21.600877193",54.1089566,10.42
"College of Our Lady of the Elms",0.6809,45.09,70.52,54027,43325,43325,85.26,949,11,0.7602,7693,9941,32.29,35.16642547,"26.021992238",77.23156533,28.35
"Regis College",0.7217,31.01,65.46,65546,49680,49680,69.78,956,9,0.7895,9009,12340,35.29,34.87972509,"22.230182927",78.96341463,21.34
"Salem State University",0.4977,35.38,49.1,28291,12338,19531,95.88,4291,12,0.7525,10694,10571,100,40.25974026,"22.373049645",64.70921986,24.98
"Bard College at Simon's Rock",0.6828,16.99,33.01,85262,68780,68780,95.89,225,6,0.7745,8318,24017,66.18,12.17105263,"19.82629108",61.97183099,6.22
"Springfield College",0.7419,22.36,72.12,60729,45174,45174,71.89,1751,11,0.8067,8245,14653,100,31.38871275,"27.558659218",59.83240223,10.74
"University of Massachusetts-Dartmouth",0.5207,37.02,64.33,33485,15612,32567,90.64,5221,16,0.636,12795,16600,67.92,35.18893387,"21.456860395",50.80886759,13.77
"Stonehill College",0.76,17.06,62.42,72714,57490,57490,66.28,2528,12,0.8396,10720,15436,58.19,16.39004149,"19.43043043",60.86086086,7.79
"Suffolk University",0.6088,29.95,54.77,65281,47550,47550,82.33,4268,15,0.7543,12891,11805,56.15,29.65027876,"20.245924546",60.08383791,15.93
"Tufts University",0.9351,12.04,18.86,88300,70704,70704,11.49,7061,10,0.955,14205,28034,64.22,15.29548088,"19.943956044",45.82417582,10.11
"Wentworth Institute of Technology",0.6824,23.11,54.68,61096,42884,42884,91.21,3747,17,0.8376,11150,14597,47.52,24.718398,"20.651038576",20.59347181,14.81
"Western New England University",0.6398,24.46,77.94,60262,47820,47820,83.48,2603,12,0.7397,10676,12651,60.68,24.54954955,"19.975421348",38.27247191,12.06
"Westfield State University",0.5441,32.95,50.55,27649,12179,18259,81.41,3615,17,0.739,11555,12928,58.67,30.50716221,"21.23257468",55.86770982,15.52
"Wheaton College (Massachusetts)",0.7282,22.17,77.54,79311,63960,63960,67.73,1773,11,0.8218,8150,17319,73.94,14.7107438,"19.397174254",63.57927786,8.01
"Williams College",0.9361,17.61,4.83,84860,68560,68560,8.25,2076,6,0.9685,15317,51880,87.71,21.5496368,"19.379775281",51.23595506,14.11
"Worcester Polytechnic Institute",0.8971,11.88,51.73,78679,60965,60965,60.16,5447,13,0.9366,13376,21636,82.85,13.37719298,"19.455445545",36.49222065,8.52
"Worcester State University",0.6145,30,44.21,22874,11786,17866,87.99,3930,16,0.7814,10308,9709,46.59,35.64493759,"22.368997473",59.30918281,19.21
"Adrian College",0.4842,30.81,70.74,56003,41684,41684,72.53,1604,16,0.6542,6614,8132,44.38,31.00529101,"19.731658291",42.21105528,6.23
"Albion College",0.6159,47.49,63.66,69986,56950,56950,80.7,1300,11,0.708,7469,18176,88.24,27.97619048,"19.627118644",49.57627119,12.69
"Alma College",0.6287,27.04,56.6,63650,49552,49552,57.03,1148,14,0.8497,7879,14519,62.32,24.10714286,"19.777456647",55.34682081,3.57
"Andrews University",0.7153,24.71,30.6,45218,35056,35056,81.85,1224,10,0.8321,7256,14063,66.77,17.21311475,"21.493230174",58.0270793,21.98
"Aquinas College",0.6536,23.9,68.82,51652,40218,40218,89.88,1083,10,0.7831,6660,8672,50.68,21.91780822,"20.214876033",63.96694215,9.33
"Baker College",0.3583,37.68,45.07,24526,13000,13000,81.87,3026,9,0.661,6382,10207,18.43,47.14151828,"26.256857402",66.70299728,6.21
"Calvin University",0.7406,17.43,33.44,54222,39350,39350,70.91,3193,13,0.8676,9559,13491,100,13.22525597,"19.837073982",56.27597672,4.35
"Central Michigan University",0.5872,31.43,68.72,30681,14760,14760,89.82,10035,16,0.7536,10682,8718,75.27,29.32980354,"21.429654255",59.2287234,5.76
"Cleary University",0.4146,29.88,53.58,39718,26102,26102,67.54,738,18,0.6585,4499,3298,4.41,42.29249012,"27.73880597",61.19402985,3.12
"Concordia University Ann Arbor",0.4764,24.14,60.73,51853,35410,35410,69.25,702,21,0.4464,6511,8791,100,31.83879093,"24.278212805",64.21004146,6.27
"College for Creative Studies",0.7061,30.02,52.47,66014,53350,53350,91.94,1230,10,0.8217,10972,15709,100,22.83609576,"20.951557093",56.57439446,5.85
"Davenport University",0.5659,33.8,45.77,37319,24466,24466,97.84,3134,18,0.8205,7047,6091,29.3,39.86062718,"26.441853035",56.26198083,8.65
"University of Detroit Mercy",0.672,26.34,25.95,42211,32946,32946,75.42,2438,12,0.8349,10733,14925,100,28.71198569,"23.755447942",67.95803067,8.7
"Eastern Michigan University",0.4644,36.64,42.9,29640,16240,16240,79.64,10055,14,0.6875,10472,8921,98.56,34.41964286,"22.664177078",61.05377512,10.34
"Ferris State University",0.4687,34.23,43.36,27048,14778,14778,91.39,8106,15,0.7762,10752,9659,70.97,35.2963101,"23.222241499",55.11797363,7.13
"Kettering University",0.708,16.98,45.27,61250,48470,48470,78.67,1205,11,0.943,9222,13932,100,18.18181818,"19.694785276",19.01840491,4.4
"Grace Christian University",0.5104,46.91,54.32,26166,18690,18690,99.16,716,15,0.6522,5647,5132,100,51.7053206,"33.703832753",57.83972125,11.17
"Cornerstone University",0.6187,32.76,52.29,42043,23000,23000,77.77,1298,15,0.7828,7119,4718,100,34.76744186,"26.247033441",65.26429342,6.24
"Grand Valley State University",0.6701,29.23,50.13,28367,15140,21548,83.02,18854,15,0.7632,10156,10704,65.62,27.32988166,"20.815527149",61.12349009,8.57
"Hope College",0.7995,16.48,44.18,55646,41970,41970,79.24,3288,9,0.8837,8709,13039,68.66,14.91317671,"19.516320475",58.95153314,8.24
"Kalamazoo College",0.7598,25.75,44.98,74208,61050,61050,75.32,1149,10,0.8455,8916,20681,84.8,13.69509044,"19.443373494",58.31325301,17.23
"Lawrence Technological University",0.6058,15.5,34.6,58166,44760,44760,55.9,1668,11,0.7836,9215,12614,36.54,22.27722772,"21.127527216",28.14930016,4.62
"Madonna University",0.6,30.4,54.54,41038,28440,28440,63.39,1632,11,0.7154,7541,11643,37.44,41.76755448,"25.69047619",68.72294372,5.02
"Rochester University",0.4412,30.9,49.91,41787,29196,29196,97.65,792,13,0.5957,6476,8275,94.87,40.59233449,"26.962323391",66.24803768,4.17
"University of Michigan-Ann Arbor",0.932,18.13,23.7,34654,17736,60946,15.64,34177,11,0.9747,13384,29014,81.68,20.57218455,"20.469775475",53.49348406,11.69
"Michigan State University",0.8072,20.09,33.63,32198,16458,43842,84.8,40922,17,0.9005,13468,19397,85.91,20.95218963,"19.973643857",55.34790109,6.72
"Michigan Technological University",0.6806,20.23,45.55,34152,19123,42988,92.43,5955,13,0.8882,11858,12828,86.58,18.53785901,"19.886582278",27.74683544,3.09
"University of Michigan-Dearborn",0.5798,46.24,36.34,24040,15640,32896,55.61,5952,16,0.8249,11247,12893,68.77,38.18103818,"23.07663411",51.16453794,6.77
"University of Michigan-Flint",0.4031,38.6,42.88,20915,14704,28320,70.46,4411,14,0.7778,10504,11896,57.23,36.79401993,"25.387921022",65.31165312,6.03
